mmsi,risk_score,rule_risk_score,is_iuu,in_target_region,flag_risk_score,near_eez_boundary_50km,sar_manual_bin_hits_at_region_mean,gap_hours_mean,gap_days_fraction,region_hours_fraction,region_fishing_hours_sum,all_fishing_hours_sum
413888637,0.9992879876913028,0,0,0,3.525,0,0,,,0.0,0.0,216.5036
413888636,0.999280183933637,0,0,0,3.525,0,0,,,0.0,0.0,1460.7666
412765421,0.9992768463480063,0,0,0,3.525,0,0,,,0.0,0.0,54.7454
412327884,0.9992764282616721,0,0,0,3.525,0,0,,,0.0,0.0,2476.2114
431008225,0.9992553237539589,0,0,0,2.525,0,0,,,0.0,0.0,2289.2441
412327691,0.9992552784626065,0,0,0,3.525,0,0,,,0.0,0.0,2097.442
412440887,0.9992445770791138,0,0,0,3.525,0,0,,,0.0,0.0,1199.259
412699110,0.9992392013175905,0,0,0,3.525,0,0,,,0.0,0.0,1345.689
412366779,0.9992311764411294,0,0,1,3.525,0,0,,,0.0002723664627415,0.2752,1010.4034
412000155,0.9992043687858024,0,0,0,3.525,0,0,,,0.0,0.0,246.111
412440756,0.9991953993777252,0,0,0,3.525,0,0,,,0.0,0.0,5081.2451
412524971,0.9991903394235148,0,0,0,3.525,0,0,,,0.0,0.0,1477.8081
412403432,0.9991851307040746,0,0,0,3.525,0,0,,,0.0,0.0,1029.4428
412686340,0.9991815949253129,0,0,0,3.525,0,0,,,0.0,0.0,442.7956
431016428,0.9991766081707155,0,0,0,2.525,0,0,,,0.0,0.0,1737.9588
412331118,0.9991578610474284,0,0,0,3.525,0,0,,,0.0,0.0,497.385
412596856,0.9991172056164077,0,0,0,3.525,0,0,,,0.0,0.0,2879.8487
412440544,0.999116761025504,0,0,0,3.525,0,0,,,0.0,0.0,3928.5287
412596353,0.9990998075320758,0,0,0,3.525,0,0,,,0.0,0.0,5849.6652
525600574,0.9990978288668085,0,0,0,2.975,0,0,,,0.0,0.0,514.0154
412556895,0.9990730705249736,0,0,0,3.525,0,0,,,0.0,0.0,1367.9527
412480001,0.9990699907451176,0,0,0,3.525,0,0,,,0.0,0.0,340.9958
